source;target;weight
Ebler Jana;Marschall Tobias;8
Ashraf Hufsah;Prodanov Timofey;3
Prodanov Timofey;Rausch Tobias;3
Prodanov Timofey;Söylev Arda;3
Prodanov Timofey;Tsapalou Vasiliki;3
Korbel Jan O;Prodanov Timofey;3
Cheng Haoyu;Harvey William T;3
Harvey William T;Hasenfeld Patrick;3
Harvey William T;Hickey Glenn;4
Harvey William T;Koren Sergey;3
Harvey William T;Li Heng;3
Harvey William T;Paten Benedict;4
Harvey William T;Phillippy Adam M;3
Harvey William T;Rautiainen Mikko;3
Chaisson Mark J P;Harvey William T;3
Harvey William T;Korbel Jan O;4
Harvey William T;Marschall Tobias;4
Cheng Haoyu;Munson Katherine M;3
Hickey Glenn;Munson Katherine M;3
Koren Sergey;Munson Katherine M;3
Li Heng;Munson Katherine M;3
Munson Katherine M;Paten Benedict;3
Munson Katherine M;Phillippy Adam M;3
Munson Katherine M;Rautiainen Mikko;3
Chaisson Mark J P;Munson Katherine M;3
Korbel Jan O;Munson Katherine M;3
Marschall Tobias;Munson Katherine M;3
Cheng Haoyu;Chin Chen-Shan;3
Chin Chen-Shan;Hasenfeld Patrick;3
Chin Chen-Shan;Hickey Glenn;3
Chin Chen-Shan;Koren Sergey;3
Chin Chen-Shan;Li Heng;3
Chin Chen-Shan;Paten Benedict;4
Chin Chen-Shan;Phillippy Adam M;3
Chin Chen-Shan;Rautiainen Mikko;3
Chaisson Mark J P;Chin Chen-Shan;3
Chin Chen-Shan;Korbel Jan O;3
Chin Chen-Shan;Eichler Evan E;3
Chin Chen-Shan;Marschall Tobias;4
Ashraf Hufsah;Rausch Tobias;3
Ashraf Hufsah;Söylev Arda;3
Ashraf Hufsah;Tsapalou Vasiliki;3
Ashraf Hufsah;Korbel Jan O;3
Ashraf Hufsah;Marschall Tobias;3
Austine-Orimoloye Olanrewaju;Hunt Sarah E;4
Austine-Orimoloye Olanrewaju;Surapaneni Likhitha;4
Cheng Haoyu;Hasenfeld Patrick;3
Cheng Haoyu;Hickey Glenn;3
Cheng Haoyu;Hoekzema Kendra;3
Cheng Haoyu;Koren Sergey;4
Cheng Haoyu;Li Heng;4
Cheng Haoyu;Paten Benedict;4
Cheng Haoyu;Phillippy Adam M;4
Cheng Haoyu;Rautiainen Mikko;3
Chaisson Mark J P;Cheng Haoyu;4
Cheng Haoyu;Korbel Jan O;4
Cheng Haoyu;Eichler Evan E;4
Cheng Haoyu;Marschall Tobias;4
Gerstein Mark;Jiang Yunzhe;4
Gerstein Mark;Paten Benedict;4
Hasenfeld Patrick;Hickey Glenn;3
Hasenfeld Patrick;Koren Sergey;3
Hasenfeld Patrick;Li Heng;3
Hasenfeld Patrick;Paten Benedict;4
Hasenfeld Patrick;Phillippy Adam M;3
Chaisson Mark J P;Hasenfeld Patrick;3
Hasenfeld Patrick;Korbel Jan O;4
Eichler Evan E;Hasenfeld Patrick;4
Hasenfeld Patrick;Marschall Tobias;4
Hickey Glenn;Hoekzema Kendra;3
Hickey Glenn;Koren Sergey;3
Hickey Glenn;Li Heng;4
Hickey Glenn;Phillippy Adam M;3
Hickey Glenn;Rautiainen Mikko;5
Chaisson Mark J P;Hickey Glenn;3
Hickey Glenn;Korbel Jan O;4
Eichler Evan E;Hickey Glenn;4
Hickey Glenn;Marschall Tobias;7
Hoekzema Kendra;Koren Sergey;3
Hoekzema Kendra;Li Heng;3
Hoekzema Kendra;Paten Benedict;3
Hoekzema Kendra;Phillippy Adam M;3
Hoekzema Kendra;Rautiainen Mikko;3
Chaisson Mark J P;Hoekzema Kendra;3
Hoekzema Kendra;Korbel Jan O;3
Hoekzema Kendra;Marschall Tobias;3
Hunt Sarah E;Surapaneni Likhitha;4
Jiang Yunzhe;Paten Benedict;4
Koren Sergey;Li Heng;4
Koren Sergey;Paten Benedict;4
Koren Sergey;Phillippy Adam M;6
Koren Sergey;Rautiainen Mikko;4
Chaisson Mark J P;Koren Sergey;4
Korbel Jan O;Koren Sergey;4
Eichler Evan E;Koren Sergey;5
Koren Sergey;Marschall Tobias;4
Li Heng;Paten Benedict;6
Li Heng;Phillippy Adam M;5
